upcoming_area,upcoming_kind,upcoming_love_num,upcoming_release_time,upcoming_title
西班牙,科幻 / 悬疑 / 惊悚,36585人,03月28日,海市蜃楼
美国,奇幻 / 冒险,20028人,03月29日,小飞象
中国大陆,喜剧,13682人,03月29日,人间·喜剧
泰国 / 中国大陆,动作,3122人,03月29日,三重威胁之跨国大营救
西班牙,剧情 / 惊悚,1646人,03月29日,警告
中国大陆,剧情,773人,03月29日,似水流年
德国 / 英国,喜剧 / 动画 / 家庭,695人,03月29日,精灵怪物：疯狂之旅
中国大陆,悬疑 / 惊悚,12人,03月29日,劫数难逃
印度,喜剧 / 犯罪 / 悬疑,73220人,04月03日,调音师
中国大陆,剧情 / 犯罪 / 悬疑,86804人,04月04日,风中有朵雨做的云
香港 / 中国大陆,动作 / 犯罪,3322人,04月04日,反贪风暴4
中国大陆,惊悚,671人,04月04日,守灵
中国大陆,剧情 / 爱情,420人,04月04日,A测试
美国,动作 / 奇幻 / 冒险,27303人,04月05日,雷霆沙赞！
香港 / 中国大陆,喜剧 / 动画 / 家庭,13460人,04月05日,麦兜·我和我妈妈
中国大陆,传记 / 历史,545人,04月05日,长官传奇
中国大陆,喜剧 / 动画,450人,04月05日,悟空圣诞奇遇记
中国大陆,儿童 / 动画 / 冒险,324人,04月05日,功夫四侠：勇闯地宫
新西兰 / 中国大陆,儿童 / 动作 / 奇幻,314人,04月05日,源·彩虹
中国大陆,喜剧 / 动画 / 冒险,24人,04月05日,青蛙王子历险记
中国大陆,剧情,1265人,04月11日,难以置信
中国大陆 / 日本,爱情,9989人,04月12日,在乎你
中国大陆,剧情 / 喜剧,3243人,04月12日,我的宠物是大象
中国大陆,犯罪 / 悬疑,1606人,04月12日,秦明·生死语者
中国大陆,剧情 / 犯罪 / 悬疑,621人,04月12日,欲念游戏
中国大陆,悬疑 / 惊悚,115人,04月12日,原来如此
中国大陆,喜剧 / 爱情 / 奇幻,25人,04月12日,菲凡记忆
法国 / 卢森堡,喜剧 / 动画 / 冒险,294人,04月13日,虫林大作战
中国大陆,剧情 / 爱情,6443人,04月19日,如影随心
中国大陆,爱情 / 悬疑,4138人,04月19日,双生
日本,动作 / 奇幻 / 冒险,2379人,04月19日,境·界
香港 / 中国大陆,喜剧,1926人,04月19日,转型团伙
中国大陆,剧情 / 家庭,650人,04月20日,狗眼看人心
中国大陆,剧情,14741人,04月26日,撞死了一只羊
中国大陆,科幻 / 冒险,8946人,04月26日,动物出击
中国大陆,动作 / 犯罪 / 悬疑,7377人,04月26日,雪暴
中国大陆,剧情,17人,04月27日,武陵山上的星光
美国,剧情,6826人,04月,本回家了
印度,剧情 / 犯罪,3191人,04月,一个母亲的复仇
俄罗斯,动画 / 奇幻 / 冒险,2357人,04月,冰雪女王4：魔镜世界
中国大陆,剧情 / 历史 / 古装,726人,04月,进京城
中国大陆 / 香港,纪录片,3686人,05月01日,港珠澳大桥
中国大陆,动作 / 悬疑 / 冒险,518人,05月02日,国礼
中国大陆 / 印度,剧情,444人,05月10日,半边天
中国大陆,犯罪 / 悬疑 / 惊悚,1306人,05月17日,致命梦魇
美国,喜剧 / 动画 / 奇幻,1442人,05月31日,丑娃娃
西班牙 / 法国,剧情 / 悬疑,3623人,05月,人尽皆知
中国大陆,喜剧,176人,05月,毕业旅行之逍遥骑士
马来西亚,喜剧,77人,05月,大大哒
中国大陆,剧情 / 动作,2339人,06月14日,美丽战争
中国大陆,爱情 / 奇幻,674人,06月28日,回到过去拥抱你
中国大陆,动画 / 冒险,264人,06月,猫公主苏菲
中国大陆,喜剧 / 动作 / 冒险,2007人,07月05日,素人特工
中国大陆 / 香港,剧情 / 动作 / 犯罪,4185人,07月12日,扫毒2：天地对决
中国大陆,剧情 / 奇幻 / 古装,15318人,07月,画皮Ⅲ
中国大陆,喜剧 / 爱情,3233人,07月,皮皮虾总裁
中国大陆,奇幻,472人,07月,八仙过海
中国大陆,爱情 / 奇幻 / 古装,3718人,08月08日,诛仙
中国大陆,悬疑 / 惊悚 / 恐怖,644人,08月09日,凌晨两点半2
中国大陆,喜剧 / 动画 / 家庭,20人,08月,魔法鼠乐园
中国大陆,剧情 / 传记,1825人,09月30日,中国机长
中国大陆,奇幻 / 冒险,33381人,10月01日,摸金校尉之九幽将军
中国大陆,剧情,417人,10月01日,我和我的祖国
中国大陆,剧情 / 历史 / 战争,468人,10月,解放了
中国大陆,喜剧 / 悬疑,41524人,2020年01月25日,唐人街探案3
中国大陆,剧情 / 喜剧,5273人,2020年01月25日,囧妈
中国大陆,剧情 / 悬疑,3583人,2020年10月01日,黑色假面
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
